"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,1,1,2,2,3,4,6,200,-0.3381,0.6649,0.701,NA,20,20,1,33,0,405.389,12422653,12400015
1,1,1,1,3,4,6,6,180,2.5915,2.1294,1.6525,NA,20,20,1,33,0,499.945,12423098,12400015
1,1,1,1,3,3,5,5,420,-0.5753,1.2954,0.7303,NA,20,20,1,33,0,541.927,12423862,12400015
1,1,1,1,1,2,4,4,225,-0.5917,0.5907,-0.0391,NA,20,20,1,33,0,523.565,12424160,12400015
1,1,1,1,4,3,6,6,180,-0.3381,1.4637,0.726,NA,20,20,1,33,0,490.811,12426447,12400015
1,2,1,2,3,2,5,5,220,-0.983,1.2661,0.7402,NA,20,20,1,33,0,530.287,12405133,12400015
1,2,1,1,5,1,5,5,220,-0.5856,0.1624,-0.1407,NA,20,20,1,33,0,554.927,12406304,12400015
1,2,1,2,1,4,5,5,180,0.75,-1.2287,0.2159,NA,20,20,1,33,0,406.074,12406458,12400015
1,2,1,1,5,4,6,6,300,-0.0752,1.8815,1.9127,NA,20,20,1,33,0,545.235,12407383,12400015
1,2,1,1,6,4,5,5,385,0.2774,2.4831,1.704,NA,20,20,1,33,0,470.95,12409537,12400015
1,2,1,NA,3,4,4,4,180,1.0269,0.9445,0.3389,NA,20,20,1,33,0,511.146,12410427,12400015
1,2,1,2,2,3,5,5,300,-0.5064,-1.3541,-0.1194,NA,20,20,1,33,0,627.873,12410600,12400015
1,2,1,1,3,4,4,4,300,0.3171,0.9131,-0.2925,NA,20,20,1,33,0,523.387,12418243,12400015
1,2,1,2,5,1,4,4,240,-3.1297,1.0296,0.2462,NA,20,20,1,33,0,644.504,12418765,12400015
1,2,1,2,4,3,5,5,240,-0.1985,0.7889,0.6268,NA,20,20,1,33,0,674.625,12419721,12400015
1,2,1,2,1,4,4,6,220,-0.0621,0.7362,1.0591,NA,20,20,1,33,0,477.579,12420317,12400015
1,2,1,2,3,3,5,5,220,-0.5064,0.9043,0.0699,NA,20,20,1,33,0,539.997,12420922,12400015
1,2,1,2,1,2,6,6,240,-1.072,-1.078,0.4738,NA,20,20,1,33,0,389.206,12423136,12400015
1,2,1,1,2,1,5,5,180,-2.4078,0.9057,0.5664,NA,20,20,1,33,0,546.11,12424472,12400015
1,2,1,1,4,3,6,6,240,-0.3381,1.704,0.649,NA,20,20,1,33,0,437.576,12425765,12400015
1,2,1,2,2,4,6,6,NA,2.5915,1.6885,1.2838,NA,20,20,1,33,0,561.26,12426688,12400015
1,2,1,2,3,4,6,6,300,0.3171,-0.0917,0.4023,8,6,18,2,23,0,556.063,12403021,12400017
1,2,1,1,4,4,6,6,300,2.5915,2.5474,1.5168,8,6,18,2,23,0,445.179,12402026,12400017
1,2,1,1,3,1,6,6,300,-2.853,1.246,1.0358,8,6,18,2,23,0,464.66,12403548,12400017
1,2,1,2,5,2,5,5,300,-0.9638,-0.3661,0.037,8,6,18,2,23,0,530.55,12406621,12400017
1,2,1,2,1,3,4,4,300,-0.3381,-1.4397,-0.9092,8,6,18,2,23,0,476.194,12406864,12400017
1,2,1,2,3,4,6,6,325,2.5915,0.9508,1.0954,8,6,18,2,23,0,530.629,12408561,12400017
1,2,1,2,4,2,6,6,300,-0.6981,-0.9302,-0.5051,8,6,18,2,23,0,428.384,12408942,12400017
1,2,1,NA,2,4,4,4,300,0.3171,-0.1013,0.0786,8,6,18,2,23,0,487.533,12412152,12400017
1,2,1,2,1,2,4,6,90,-0.9388,-0.8666,-0.4817,8,6,18,2,23,0,428.717,12413572,12400017
1,2,1,2,1,3,4,4,275,0.2947,-1.1143,-1.2029,8,6,18,2,23,0,545.977,12414370,12400017
1,2,1,1,6,4,6,6,300,2.5915,1.021,0.5013,8,6,18,2,23,0,593.214,12415047,12400017
1,2,2,2,1,2,6,6,300,-0.983,-0.2877,-0.2276,8,6,18,2,23,0,428.101,12415051,12400017
1,2,1,1,4,3,NA,NA,300,-0.1985,1.7297,1.0987,8,6,18,2,23,0,591.383,12415571,12400017
1,2,1,2,3,3,6,6,275,-0.5753,-1.3573,-0.6,8,6,18,2,23,0,431.743,12415905,12400017
1,2,1,2,2,4,4,6,0,2.5915,-1.3746,-0.2758,8,6,18,2,23,0,348.486,12416193,12400017
1,2,1,2,3,2,5,5,300,0.1854,1.0828,1.0861,8,6,18,2,23,0,494.208,12420608,12400017
1,2,1,1,3,3,6,6,0,-0.3381,0.9734,0.8971,8,6,18,2,23,0,489.506,12423680,12400017
1,2,2,2,4,3,5,6,300,-0.3381,-0.0072,0.9706,8,6,18,2,23,0,491.402,12424850,12400017
1,2,1,1,4,3,4,4,300,-0.1985,0.7563,-0.7221,8,6,18,2,23,0,445.397,12426545,12400017
1,2,1,1,1,3,6,6,300,0.5643,0.7914,0.8095,8,6,18,2,23,0,349.307,12430290,12400017
1,1,1,1,4,4,6,6,300,1.0269,1.1912,1.411,8,6,18,2,23,0,541.946,12404241,12400017
1,1,1,2,2,3,5,5,300,-0.8913,-0.3806,-0.0716,8,6,18,2,23,0,470.03,12404245,12400017
1,1,1,1,5,3,6,6,150,-0.4725,1.6897,1.0022,8,6,18,2,23,0,419.546,12407193,12400017
1,1,1,1,5,2,4,4,325,-1.1284,-0.4124,-0.4077,8,6,18,2,23,0,565.697,12408631,12400017
1,1,1,2,3,4,4,4,250,-1.0987,0.146,0.1488,8,6,18,2,23,0,438.914,12408976,12400017
1,1,1,2,2,3,4,5,300,-0.3381,0.5028,0.5216,8,6,18,2,23,0,365.576,12411171,12400017
1,1,1,NA,NA,2,6,6,65,-1.0362,-0.5551,0.356,8,6,18,2,23,0,461.624,12412768,12400017
1,1,1,1,4,3,6,6,0,-0.3381,0.694,0.8564,8,6,18,2,23,0,446.456,12414195,12400017
1,1,1,2,2,3,4,4,500,-0.3381,0.662,-0.4468,8,6,18,2,23,0,496.133,12416258,12400017
1,1,1,2,3,2,4,6,300,-1.0536,0.62,0.1266,8,6,18,2,23,0,517.15,12420884,12400017
1,1,1,1,1,2,6,6,60,-0.6985,1.9641,0.6619,8,6,18,2,23,0,296.273,12421006,12400017
1,1,2,2,6,3,5,5,325,-0.3381,-0.3959,0.0261,8,6,18,2,23,0,518.285,12421079,12400017
1,1,1,1,3,3,4,4,300,-0.3381,0.7264,-0.5058,8,6,18,2,23,0,456.166,12430687,12400017
1,1,1,2,3,3,4,6,325,-0.4725,0.1147,-0.0178,8,6,18,2,23,0,437.186,12430861,12400017
1,2,1,2,4,3,6,6,120,0.5643,0.1467,1.0685,NA,NA,NA,2,13,0,380.695,12424317,12400018
1,2,1,1,4,3,NA,4,300,-0.6837,0.7525,-0.0586,1,25,25,1,18,0,472.433,12403123,12400019
1,2,1,1,3,4,4,4,600,1.0269,1.3688,0.6395,1,25,25,1,18,0,421.952,12407732,12400019
1,2,1,2,4,3,6,6,375,-0.3381,0.3425,0.6859,1,25,25,1,18,0,577.805,12413569,12400019
1,2,1,2,3,3,5,5,350,-0.5753,1.0781,0.7331,1,25,25,1,18,0,543.397,12417882,12400019
1,2,NA,NA,2,3,6,6,525,-0.4725,-0.2011,0.5274,1,25,25,1,18,0,461.999,12420023,12400019
1,2,1,2,1,3,5,5,525,-0.3381,0.1177,-0.0745,1,25,25,1,18,0,364.561,12424184,12400019
1,2,1,2,3,3,6,6,325,-0.3381,1.3437,1.4671,1,25,25,1,18,0,481.89,12426058,12400019
1,2,1,2,4,2,6,6,NA,-1.0536,0.4077,1.1438,1,25,25,1,18,0,518.752,12426475,12400019
1,2,1,2,2,3,6,6,375,-0.3381,0.8882,1.2377,1,25,25,1,18,0,590.235,12428502,12400019
1,1,1,2,5,3,6,6,525,-0.3381,1.6021,1.562,1,25,25,1,18,0,429.928,12400356,12400019
1,1,1,2,3,3,5,5,325,-0.3381,-0.234,-0.3897,1,25,25,1,18,0,439.135,12401383,12400019
