"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
84000006,638.361,2,1,2,1,3,4,5,270,-0.3381,-0.8519,0.1085,7,8,62,3,23,0,1,84009044
84000007,444.885,2,2,2,1,3,4,4,325,-0.3381,-1.0661,-1.0074,9,12,43,2,33,0,1,84000683
84000007,328.889,2,2,1,2,2,5,5,60,-0.2511,0.9332,0.8472,9,12,43,2,33,0,1,84001491
84000007,416.688,2,1,2,3,2,5,5,300,-1.1407,0.076,-0.7283,9,12,43,2,33,0,1,84001788
84000007,492.996,2,1,1,3,3,4,5,55,-0.4725,0.0624,-0.382,9,12,43,2,33,0,1,84002411
84000007,456.936,2,1,2,3,1,4,4,300,-3.1297,0.0124,-0.9376,9,12,43,2,33,0,1,84003163
84000007,596.098,2,1,2,2,3,5,6,300,-0.3381,0.0796,0.8186,9,12,43,2,33,0,1,84003262
84000007,407.743,2,1,1,3,1,6,6,60,-2.0732,-0.6951,0.4513,9,12,43,2,33,0,1,84003462
84000007,428.419,2,1,2,1,4,4,5,275,-0.0621,-0.3764,-0.378,9,12,43,2,33,0,1,84004048
84000007,449.007,2,1,1,5,3,4,4,275,-0.3381,1.1584,0.5622,9,12,43,2,33,0,1,84004561
84000007,485.41,2,1,1,5,3,2,2,250,-0.3381,-0.5015,-0.9095,9,12,43,2,33,0,1,84004890
84000007,525.643,2,1,1,4,4,4,4,60,0.1157,0.9947,0.254,9,12,43,2,33,0,1,84005711
84000007,477.551,2,1,2,1,3,4,4,600,0.2526,-1.2502,-1.5421,9,12,43,2,33,0,1,84006509
84000007,409.893,2,1,1,3,3,5,5,300,0.1052,0.2792,-0.137,9,12,43,2,33,0,1,84008586
84000007,423.38,2,1,2,1,4,4,4,275,0.6642,-0.6541,-1.1371,9,12,43,2,33,0,1,84009011
84000007,399.748,2,1.40697154994175,2.48768003837694,0.555416690067527,3.53327248486334,3.95987638492764,4.5172151445618,149.320424885134,0.208436875383277,-1.43407757933061,-1.20860895713149,9,12,43,2,33,0,1,84009324
84000007,339.491,2,1,2,3,3,2,2,60,-0.1613,-0.8401,-1.0752,9,12,43,2,33,0,1,84009592
84000007,426.859,2,2,2,3,2,2,4,275,-0.7911,-0.5772,-0.365,9,12,43,2,33,0,1,84010007
84000007,353.36,2,2,2,1,3,6,6,420,-0.3381,-0.8823,-0.568,9,12,43,2,33,0,1,84010048
84000007,318.47,2,1,2,3,3,4,4,70,0.0979,-0.8503,-0.5893,9,12,43,2,33,0,1,84011035
84000007,301.199,2,1,1,2,3,6,6,275,0.3791,0.3748,0.8031,9,12,43,2,33,0,1,84011042
84000007,396.039,1,1,2,1,3,4,4,300,-0.6837,0.2779,0.1973,9,12,43,2,33,0,1,84000074
