"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,2,1,2,1,4,4,4,540,0.7934,0.0396,0.1966,7,8,62,3,23,0,426.347,84010001,84000006
1,2,1,2,2,4,4,4,600,0.5901,-0.3238,-0.7884,7,8,62,3,23,0,495.888,84010197,84000006
1,2,1,2,2,3,6,6,180,-0.3627,-1.5056,0.1534,7,8,62,3,23,0,386.758,84010354,84000006
1,2,1,1,4,4,6,6,240,0.3171,1.4537,1.6129,7,8,62,3,23,0,553.908,84010715,84000006
1,1,1,2,1,2,4,4,160,-0.7768,-1.1212,-1.1848,7,8,62,3,23,0,381.296,84001700,84000006
1,1,1,2,1,4,2,4,270,0.412,-1.1676,-0.9461,7,8,62,3,23,0,534.154,84001701,84000006
1,1,1,2,3,3,2,5,160,-0.8021,-1.2107,-0.8204,7,8,62,3,23,0,575.606,84002734,84000006
1,1,1,2,3,4,4,4,270,0.9646,0.2687,0.1112,7,8,62,3,23,0,435.906,84004295,84000006
1,1,1,2,2,3,4,4,450,-0.7104,-0.059,-0.4431,7,8,62,3,23,0,446.974,84004783,84000006
1,1,1,2,2,3,NA,NA,550,-0.5064,-0.3712,NA,7,8,62,3,23,0,390.025,84005004,84000006
1,1,2,2,2,3,4,4,90,0.1561,-2.0764,-1.5771,7,8,62,3,23,0,355.948,84005018,84000006
1,1,1,2,1,4,4,4,90,0.6642,0.2197,-0.7127,7,8,62,3,23,0,349.193,84006185,84000006
1,1,NA,NA,1,3,4,4,440,-0.2687,0.1594,-0.4004,7,8,62,3,23,0,385.183,84006412,84000006
1,1,1,1,2,3,4,4,475,0.2067,0.693,0.1845,7,8,62,3,23,0,444.937,84008131,84000006
1,1,1,2,5,2,6,6,475,-0.6981,1.4157,1.4543,7,8,62,3,23,0,643.507,84009304,84000006
1,1,1,2,4,4,6,6,270,2.5915,0.7786,1.2202,7,8,62,3,23,0,518.289,84009314,84000006
1,1,2,2,1,1,4,6,180,-3.1297,-2.405,-0.6412,7,8,62,3,23,0,365.381,84009966,84000006
1,1,1,1,1,3,5,5,270,-1.0036,0.0267,0.0595,7,8,62,3,23,0,438.968,84010372,84000006
